Id,Name,Created at,Updated at,Id [Category],Name [Category],Created at [Category],Updated at [Category]
1,Local,"May 29, 2017 15:35","May 29, 2017 15:35",1,News,"May 29, 2017 16:14","May 29, 2017 16:14"
2,International ,"May 29, 2017 15:37","May 29, 2017 15:37",1,News,"May 29, 2017 16:14","May 29, 2017 16:14"
3,Sport,"May 29, 2017 15:37","May 29, 2017 15:37",1,News,"May 29, 2017 16:14","May 29, 2017 16:14"
4,News ,"May 29, 2017 15:38","May 29, 2017 15:38",2,Education & Work,"May 29, 2017 16:15","May 29, 2017 16:15"
5,Careers,"May 29, 2017 15:38","May 29, 2017 15:38",2,Education & Work,"May 29, 2017 16:15","May 29, 2017 16:15"
6,Sci-Tech,"May 29, 2017 15:38","May 29, 2017 15:38",2,Education & Work,"May 29, 2017 16:15","May 29, 2017 16:15"
7,Survive,"May 29, 2017 15:39","May 29, 2017 15:39",3,Money,"May 29, 2017 16:15","May 29, 2017 16:15"
8,Save,"May 29, 2017 15:39","May 29, 2017 15:39",3,Money,"May 29, 2017 16:15","May 29, 2017 16:15"
9,Sustain,"May 29, 2017 15:41","May 29, 2017 15:41",3,Money,"May 29, 2017 16:15","May 29, 2017 16:15"
10,Books & Movies,"May 29, 2017 15:42","May 29, 2017 15:42",4,Entertainment,"May 29, 2017 16:15","May 29, 2017 16:15"
11,Celebrity,"May 29, 2017 15:43","May 29, 2017 15:43",4,Entertainment,"May 29, 2017 16:15","May 29, 2017 16:15"
12,Music,"May 29, 2017 15:43","May 29, 2017 15:43",4,Entertainment,"May 29, 2017 16:15","May 29, 2017 16:15"
13,Travel,"May 29, 2017 15:43","May 29, 2017 15:43",5,Lifestyle,"May 29, 2017 16:16","May 29, 2017 16:16"
14,Beauty & Fashion,"May 29, 2017 15:44","May 29, 2017 15:44",5,Lifestyle,"May 29, 2017 16:16","May 29, 2017 16:16"
15,Health & Fitness,"May 29, 2017 15:44","May 29, 2017 15:44",5,Lifestyle,"May 29, 2017 16:16","May 29, 2017 16:16"
16,Food,"May 29, 2017 15:44","May 29, 2017 15:44",5,Lifestyle,"May 29, 2017 16:16","May 29, 2017 16:16"
17,News ,"May 29, 2017 15:45","May 29, 2017 15:45",7,Mazanzi100,"May 29, 2017 16:16","May 29, 2017 16:16"
18,Mzanzi100 ,"May 29, 2017 15:46","May 29, 2017 15:46",7,Mazanzi100,"May 29, 2017 16:16","May 29, 2017 16:16"
19,Disruptors,"May 29, 2017 15:46","May 29, 2017 15:46",7,Mazanzi100,"May 29, 2017 16:16","May 29, 2017 16:16"
20,Healers,"May 29, 2017 15:46","May 29, 2017 15:46",7,Mazanzi100,"May 29, 2017 16:16","May 29, 2017 16:16"
21,Influencers,"May 29, 2017 15:46","May 29, 2017 15:46",7,Mazanzi100,"May 29, 2017 16:16","May 29, 2017 16:16"
22,Innovators,"May 29, 2017 15:47","May 29, 2017 15:47",7,Mazanzi100,"May 29, 2017 16:16","May 29, 2017 16:16"
23,Trailblazers,"May 29, 2017 15:47","May 29, 2017 15:47",7,Mazanzi100,"May 29, 2017 16:16","May 29, 2017 16:16"
